Age 	Both Sexes Population 	Male Population 	Female Population 	Sex Ratio
77 	21,486,473 	9,388,664 	12,097,809 	77.6
78 	19,697,564 	8,532,867 	11,164,697 	76.4
79 	18,258,724 	7,774,380 	10,484,344 	74.2
80 	16,483,234 	6,898,064 	9,585,170 	72.0
81 	15,119,151 	6,208,760 	8,910,391 	69.7
82 	13,712,542 	5,510,721 	8,201,821 	67.2
83 	11,963,549 	4,682,087 	7,281,462 	64.3
84 	10,564,391 	4,051,267 	6,513,124 	62.2
85 	8,977,297 	3,337,547 	5,639,750 	59.2
86 	7,672,444 	2,753,913 	4,918,531 	56.0
87 	6,544,587 	2,262,935 	4,281,652 	52.9
88 	5,364,657 	1,792,584 	3,572,073 	50.2
89 	4,325,448 	1,393,142 	2,932,306 	47.5
90 	3,524,624 	1,100,322 	2,424,302 	45.4
91 	2,817,157 	845,781 	1,971,376 	42.9
92 	2,149,939 	621,596 	1,528,343 	40.7
93 	1,504,662 	418,689 	1,085,973 	38.6
94 	1,095,657 	295,141 	800,516 	36.9
95 	829,492 	213,592 	615,900 	34.7
96 	634,711 	155,118 	479,593 	32.3
97 	485,201 	112,154 	373,047 	30.1
98 	351,421 	77,825 	273,596 	28.4
99 	242,924 	51,336 	191,588 	26.8
100 + 	424,044 	81,491 	342,553 	23.8
